Metric,Task,Value,Unit
Min Throughput,large_filtered_terms,1.10,ops/s
Mean Throughput,large_filtered_terms,1.10,ops/s
Median Throughput,large_filtered_terms,1.10,ops/s
Max Throughput,large_filtered_terms,1.10,ops/s
50th percentile latency,large_filtered_terms,339.02269413647446,ms
90th percentile latency,large_filtered_terms,382.3575011923822,ms
99th percentile latency,large_filtered_terms,443.66289969124415,ms
100th percentile latency,large_filtered_terms,449.4053190010163,ms
50th percentile service time,large_filtered_terms,330.7421184990744,ms
90th percentile service time,large_filtered_terms,374.082240700227,ms
99th percentile service time,large_filtered_terms,434.46734916940846,ms
100th percentile service time,large_filtered_terms,441.9499840005301,ms
error rate,large_filtered_terms,0.00,%
Min Throughput,large_prohibited_terms,1.10,ops/s
Mean Throughput,large_prohibited_terms,1.10,ops/s
Median Throughput,large_prohibited_terms,1.10,ops/s
Max Throughput,large_prohibited_terms,1.10,ops/s
50th percentile latency,large_prohibited_terms,327.96352800050954,ms
90th percentile latency,large_prohibited_terms,403.56065271007543,ms
99th percentile latency,large_prohibited_terms,439.48886847174447,ms
100th percentile latency,large_prohibited_terms,456.3675060926471,ms
50th percentile service time,large_prohibited_terms,320.0273254988133,ms
90th percentile service time,large_prohibited_terms,395.5390821005495,ms
99th percentile service time,large_prohibited_terms,430.8746726796563,ms
100th percentile service time,large_prohibited_terms,448.6078179998003,ms
error rate,large_prohibited_terms,0.00,%
